"YEAR","THEME","TOTAL_SETS","TOTAL_PIECES","MEAN_PIECES","TOTAL_PRICE","MEAN_PRICE","MEAN_VALNEW","MEAN_VALUSED","PPP"
1993,"Castle",14,1642,117.285714285714,192.75,19.275,219.760769230769,49.1546153846154,0.117387332521315
1993,"Dacta",8,2240,280,111.5,27.875,157.941428571429,66.6633333333333,0.0497767857142857
1993,"Duplo",30,890,28.7096774193548,198.98,22.1088888888889,27.7075,19.8553333333333,0.223573033707865
1993,"Model Team",2,1185,592.5,115.5,57.75,419.645,93.23,0.0974683544303798
1993,"Pirates",6,1280,213.333333333333,194,38.8,412.001666666667,144.271666666667,0.1515625
1993,"Service Packs",29,614,21.1724137931034,61,4.35714285714286,18.0864285714286,16.9228571428571,0.0993485342019544
1993,"Space",11,1412,128.363636363636,146,16.2222222222222,272.805454545455,43.485,0.103399433427762
1993,"Technic",8,2302,287.75,282.75,40.3928571428571,118.28125,42.4175,0.122827975673328
1993,"Town",23,3527,153.347826086957,304.5,19.03125,99.3377272727273,25.3704347826087,0.0863339948965126
1993,"Trains",3,918,306,112.5,37.5,373.856666666667,148.55,0.122549019607843
1994,"Assorted",3,266,88.6666666666667,8,8,264.985,72.135,0.0300751879699248
1994,"Basic",11,1446,131.454545454545,49.5,49.5,20,21.7633333333333,0.0342323651452282
1994,"Belville",4,476,119,220,55,109.9825,48.09,0.46218487394958
1994,"Castle",3,277,69.25,22,11,122.27,43.52,0.0794223826714801
1994,"Dacta",2,1430,715,0,NA,289.99,121.51,0
1994,"Duplo",37,1134,29.8421052631579,272.7,24.7909090909091,61.7841176470588,22.355,0.24047619047619
1994,"Model Team",1,1172,1172,110,110,606.89,173.57,0.0938566552901024
1994,"Pirates",12,1215,93.4615384615385,140,23.3333333333333,164.177777777778,48.4923076923077,0.11522633744856
1994,"Service Packs",17,316,18.5882352941176,52,4,21.8170588235294,11.334,0.164556962025316
1994,"Space",9,1757,175.7,301,37.625,286.773333333333,93.875,0.171314741035857
1994,"Technic",8,3125,390.625,302.25,60.45,187.20125,52.6125,0.09672
